iter	Passed	Remaining
0	60	1218260
1	113	1135647
2	161	1077769
3	211	1056247
4	266	1064740
5	320	1068564
6	384	1099446
7	443	1107067
8	503	1118831
9	562	1124722
10	629	1144522
11	690	1150843
12	749	1152884
13	811	1158510
14	871	1160618
15	925	1156278
16	979	1151567
17	1027	1140646
18	1077	1133061
19	1126	1125536
20	1175	1118709
21	1225	1113177
22	1276	1108483
23	1325	1103404
24	1379	1102485
25	1435	1102429
26	1486	1099931
27	1536	1095805
28	1587	1093185
29	1638	1090604
30	1689	1088169
31	1740	1085935
32	1788	1082352
33	1838	1079350
34	1886	1076213
35	1938	1075122
36	1987	1072263
37	2035	1069497
38	2084	1067117
39	2136	1066013
40	2185	1063969
41	2234	1061828
42	2284	1060105
43	2332	1057831
44	2380	1055776
45	2430	1054152
46	2479	1052451
47	2530	1051772
48	2578	1049819
49	2626	1047805
50	2675	1046414
51	2726	1045989
52	2775	1044737
53	2825	1043549
54	2875	1042582
55	2925	1041824
56	2974	1040743
57	3024	1039986
58	3075	1039570
59	3128	1039831
60	3180	1039558
61	3232	1039662
62	3284	1039506
63	3335	1039134
64	3386	1038635
65	3435	1037474
66	3486	1037260
67	3539	1037604
68	3593	1038037
69	3650	1039461
70	3705	1040072
71	3757	1039932
72	3805	1038870
73	3855	1038181
74	3903	1037160
75	3953	1036414
76	4004	1036141
77	4054	1035439
78	4112	1037112
79	4159	1035833
80	4211	1035548
81	4264	1035950
82	4317	1035924
83	4369	1035945
84	4418	1035324
85	4466	1034172
86	4514	1033345
87	4563	1032536
88	4616	1032901
89	4666	1032236
90	4715	1031676
91	4763	1030807
92	4810	1029741
93	4860	1029293
94	4907	1028198
95	4955	1027407
96	5006	1027171
97	5055	1026689
98	5106	1026549
99	5157	1026308
100	5207	1026050
101	5256	1025367
102	5306	1025105
103	5356	1024711
104	5403	1023882
105	5454	1023605
106	5503	1023140
107	5552	1022741
108	5603	1022616
109	5652	1022006
110	5701	1021526
111	5751	1021319
112	5799	1020718
113	5849	1020329
114	5897	1019773
115	5946	1019342
116	5994	1018745
117	6044	1018496
118	6092	1017901
119	6142	1017531
120	6190	1017109
121	6240	1016776
122	6287	1016145
123	6335	1015591
124	6383	1014913
125	6431	1014482
126	6478	1013749
127	6527	1013332
128	6576	1013003
129	6627	1013059
130	6681	1013341
131	6736	1013977
132	6793	1014711
133	6844	1014678
134	6892	1014168
135	6939	1013639
136	6989	1013382
137	7039	1013192
138	7088	1012887
139	7136	1012416
140	7184	1011931
141	7237	1012132
142	7286	1011761
143	7334	1011348
144	7384	1011112
145	7433	1010796
146	7481	1010360
147	7531	1010274
148	7580	1009903
149	7632	1010010
150	7683	1009951
151	7732	1009687
152	7782	1009477
153	7829	1008977
154	7877	1008578
155	7924	1008085
156	7973	1007779
157	8022	1007518
158	8072	1007322
159	8122	1007237
160	8172	1007089
161	8222	1006922
162	8273	1006842
163	8324	1006806
164	8372	1006458
165	8425	1006652
166	8472	1006224
167	8524	1006260
168	8573	1006072
169	8624	1006031
170	8673	1005800
171	8723	1005670
172	8773	1005503
173	8821	1005157
174	8870	1004895
175	8919	1004641
176	8968	1004454
177	9019	1004396
178	9070	1004404
179	9121	1004364
180	9170	1004181
181	9219	1003877
182	9267	1003528
183	9316	1003332
184	9364	1002962
185	9411	1002630
186	9460	1002336
187	9508	1002037
188	9558	1001922
189	9606	1001581
190	9661	1001968
191	9712	1002035
192	9761	1001742
193	9814	1001952
194	9871	1002545
195	9922	1002561
196	9971	1002357
197	10020	1002102
198	10070	1002036
199	10121	1001988
200	10169	1001751
201	10219	1001564
202	10266	1001259
203	10315	1001005
204	10363	1000698
205	10413	1000644
206	10464	1000561
207	10513	1000412
208	10563	1000315
209	10613	1000164
210	10664	1000233
211	10713	999983
212	10763	999905
213	10813	999805
214	10861	999520
215	10908	999179
216	10956	998858
217	11005	998636
218	11055	998569
219	11104	998388
220	11160	998830
221	11210	998768
222	11259	998576
223	11309	998439
224	11356	998150
225	11404	997811
226	11455	997850
227	11505	997708
228	11558	997891
229	11607	997701
230	11656	997552
231	11706	997446
